    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
     254   0.456000   0.541300  -0.014889   0.205173     3.066082     0.012709   1.751023   0.112733
     255   0.460800   0.536500  -0.015716   0.205220     3.054231     0.012660   1.747636   0.112515
     256   0.460800   0.536500  -0.008045   0.205922     3.057250     0.012735   1.748499   0.112850
     257   0.460800   0.536500  -0.016089   0.206169     3.061856     0.012701   1.749816   0.112700
     258   0.465600   0.531700  -0.014406   0.206518     3.050713     0.012683   1.746629   0.112620
     259   0.465600   0.531700  -0.012287   0.207166     3.040089     0.012742   1.743585   0.112881
     260   0.470400   0.526900  -0.009390   0.206384     3.030561     0.012851   1.740851   0.113362
     261   0.475200   0.522100  -0.010323   0.207042     3.019174     0.012914   1.737577   0.113639
     262   0.480000   0.517300  -0.013089   0.207312     3.009640     0.012884   1.734831   0.113506
     263   0.480000   0.517300  -0.004311   0.207297     3.018308     0.012835   1.737328   0.113290
     264   0.480000   0.517300  -0.010795   0.207997     3.017893     0.012915   1.737208   0.113642
     265   0.480000   0.517300  -0.018321   0.207455     3.021401     0.012943   1.738218   0.113768
     266   0.484800   0.512500  -0.016172   0.207594     3.011261     0.012900   1.735299   0.113576
     267   0.484800   0.512500  -0.006518   0.208208     3.024686     0.012951   1.739163   0.113802
     268   0.484800   0.512500  -0.001311   0.208351     3.020612     0.012908   1.737991   0.113614
     269   0.489600   0.507700  -0.007034   0.207889     3.018129     0.012917   1.737276   0.113654
     270   0.489600   0.507700  -0.010677   0.208288     3.010507     0.012912   1.735081   0.113631
     271   0.494400   0.502900  -0.010359   0.208631     2.999425     0.012896   1.731885   0.113560
     272   0.494400   0.502900  -0.001709   0.208930     3.008605     0.012873   1.734533   0.113458
     273   0.494400   0.502900  -0.006371   0.209255     3.003476     0.012854   1.733054   0.113377
     274   0.499200   0.498100  -0.005956   0.208786     2.992561     0.012867   1.729902   0.113434
     275   0.499200   0.498100  -0.016733   0.208905     3.013389     0.012824   1.735911   0.113245
     276   0.499200   0.498100  -0.024765   0.209021     3.020146     0.012782   1.737857   0.113056
     277   0.499200   0.498100  -0.029671   0.209652     3.015861     0.012845   1.736624   0.113336
     278   0.499200   0.498100  -0.022121   0.209733     3.020745     0.012801   1.738029   0.113140
     279   0.499200   0.498100  -0.029509   0.209994     3.025038     0.012774   1.739264   0.113021
     280   0.499200   0.498100  -0.019089   0.209429     3.044420     0.012817   1.744827   0.113212
     281   0.504000   0.493300  -0.017305   0.209737     3.034474     0.012798   1.741974   0.113127
     282   0.504000   0.493300  -0.010246   0.210385     3.037664     0.012870   1.742890   0.113447
     283   0.508800   0.488500  -0.009641   0.209779     3.027033     0.012928   1.739837   0.113701
     284   0.513600   0.483700  -0.005399   0.209178     3.021450     0.012984   1.738232   0.113949
     285   0.513600   0.483700  -0.012991   0.209160     3.027159     0.012939   1.739873   0.113749
     286   0.518400   0.478900  -0.015893   0.208580     3.018966     0.012989   1.737517   0.113970
     287   0.518400   0.478900  -0.013574   0.209226     3.009979     0.013063   1.734929   0.114294
     288   0.523200   0.474100  -0.012174   0.208726     3.000088     0.013089   1.732076   0.114408
     289   0.523200   0.474100  -0.021189   0.209149     3.013031     0.013095   1.735809   0.114435
     290   0.523200   0.474100  -0.029822   0.209251     3.024107     0.013053   1.738996   0.114250
     291   0.528000   0.469300  -0.025356   0.208792     3.019481     0.013069   1.737665   0.114320
     292   0.528000   0.469300  -0.021859   0.209342     3.012686     0.013112   1.735709   0.114507
     293   0.532800   0.464500  -0.024862   0.208747     3.005029     0.013170   1.733502   0.114761
     294   0.532800   0.464500  -0.016638   0.208123     3.014555     0.013239   1.736247   0.115061
     295   0.532800   0.464500  -0.023865   0.208773     3.019640     0.013318   1.737711   0.115403
     296   0.537600   0.459700  -0.024328   0.208410     3.009502     0.013311   1.734792   0.115375
     297   0.537600   0.459700  -0.031078   0.208770     3.012811     0.013305   1.735745   0.115347
     298   0.542400   0.454900  -0.031401   0.208757     3.002732     0.013260   1.732839   0.115153
     299   0.542400   0.454900  -0.023460   0.208253     3.011418     0.013291   1.735344   0.115289
     300   0.547200   0.450100  -0.025396   0.207625     3.002497     0.013365   1.732771   0.115606
